"dwal","p","u:0","u:1","u:2","ybar:0","ybar:1","ybar:2","Points:0","Points:1","Points:2"
2.207610396e-04,9.694609973e+04,1.217922651e+00,-5.139533663e-04,0.000000000e+00,1.196426278e+00,9.758764460e-04,0.000000000e+00,2.173420000e-01,-3.311673896e-02,0.000000000e+00
1.834696529e-04,9.694609962e+04,9.920401544e-01,-6.167042130e-04,0.000000000e+00,9.771596933e-01,6.673233983e-04,0.000000000e+00,2.173420000e-01,-3.315403035e-02,0.000000000e+00
1.664737842e-04,9.694609955e+04,8.889537410e-01,-6.131928825e-04,0.000000000e+00,8.767200609e-01,5.762977949e-04,0.000000000e+00,2.173420000e-01,-3.317102622e-02,0.000000000e+00
1.409100294e-04,9.694609944e+04,7.338998372e-01,-6.079114349e-04,0.000000000e+00,7.256472223e-01,4.393847462e-04,0.000000000e+00,2.173420000e-01,-3.319658997e-02,0.000000000e+00
1.239141607e-04,9.694609936e+04,6.308134238e-01,-6.044001045e-04,0.000000000e+00,6.252075900e-01,3.483591428e-04,0.000000000e+00,2.173420000e-01,-3.321358584e-02,0.000000000e+00
9.835040598e-05,9.694609925e+04,4.904087721e-01,-5.593392454e-04,0.000000000e+00,4.879945357e-01,2.161362193e-04,0.000000000e+00,2.173420000e-01,-3.323914959e-02,0.000000000e+00
8.669950592e-05,9.694609918e+04,4.283162996e-01,-5.013764924e-04,0.000000000e+00,4.265447616e-01,1.841377818e-04,0.000000000e+00,2.173420000e-01,-3.325080049e-02,0.000000000e+00
6.917520299e-05,9.694609908e+04,3.349220302e-01,-4.141937995e-04,0.000000000e+00,3.341171851e-01,1.360084262e-04,0.000000000e+00,2.173420000e-01,-3.326832480e-02,0.000000000e+00
5.752430293e-05,9.694609902e+04,2.728295577e-01,-3.562310465e-04,0.000000000e+00,2.726674111e-01,1.040099887e-04,0.000000000e+00,2.173420000e-01,-3.327997570e-02,0.000000000e+00
4.000000000e-05,9.694609892e+04,1.874387981e-01,-2.730643049e-04,0.000000000e+00,1.880827264e-01,4.951398066e-05,0.000000000e+00,2.173420000e-01,-3.329750000e-02,0.000000000e+00
3.201314893e-05,9.694609888e+04,1.491285104e-01,-2.221217881e-04,0.000000000e+00,1.496265731e-01,4.083313377e-05,0.000000000e+00,2.173420000e-01,-3.330548685e-02,0.000000000e+00
2.000000000e-05,9.694609883e+04,9.150540134e-02,-1.454983434e-04,0.000000000e+00,9.178406516e-02,2.777613474e-05,0.000000000e+00,2.173420000e-01,-3.331750000e-02,0.000000000e+00
1.201314893e-05,9.694609879e+04,5.319511373e-02,-9.455582662e-05,0.000000000e+00,5.332791189e-02,1.909528785e-05,0.000000000e+00,2.173420000e-01,-3.332548685e-02,0.000000000e+00
0.000000000e+00,9.694609872e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.173420000e-01,-3.333750000e-02,0.000000000e+00
